SHITOMASI_BRISK, 84, 80, 73, 77, 74, 70, 79, 81, 72
SHITOMASI_BRIEF, 96, 93, 92, 89, 92, 93, 85, 91, 85
SHITOMASI_ORB, 86, 84, 87, 91, 87, 76, 81, 88, 88
SHITOMASI_FREAK, 66, 66, 64, 63, 62, 64, 61, 65, 63
SHITOMASI_SIFT, 96, 86, 83, 91, 86, 81, 87, 92, 86
HARRIS_BRISK, 11, 9, 10, 11, 16, 14, 12, 21, 17
HARRIS_BRIEF, 12, 12, 14, 17, 17, 16, 12, 20, 21
HARRIS_ORB, 11, 11, 14, 17, 19, 19, 13, 21, 20
HARRIS_FREAK, 11, 9, 13, 14, 13, 18, 10, 17, 18
HARRIS_SIFT, 15, 12, 15, 18, 22, 28, 15, 21, 20
FAST_BRISK, 213, 216, 187, 205, 185, 200, 215, 203, 208
FAST_BRIEF, 229, 253, 233, 247, 224, 243, 251, 260, 238
FAST_ORB, 226, 220, 218, 226, 220, 235, 251, 226, 239
FAST_FREAK, 178, 181, 156, 182, 159, 179, 196, 164, 171
FAST_SIFT, 257, 246, 237, 236, 232, 251, 259, 252, 255
BRISK_BRISK, 125, 143, 129, 138, 108, 129, 154, 157, 136
BRISK_BRIEF, 138, 166, 129, 141, 148, 155, 158, 161, 148
BRISK_ORB, 132, 146, 122, 144, 130, 156, 159, 149, 150
BRISK_FREAK, 95, 111, 91, 102, 95, 105, 119, 124, 117
BRISK_SIFT, 137, 151, 145, 146, 144, 151, 156, 165, 166
ORB_BRISK, 36, 37, 36, 43, 40, 50, 53, 61, 55
ORB_BRIEF, 37, 38, 37, 53, 42, 64, 58, 62, 59
ORB_ORB, 42, 39, 55, 44, 39, 61, 57, 65, 56
ORB_FREAK, 30, 30, 41, 33, 33, 37, 43, 43, 42
ORB_SIFT, 51, 49, 51, 48, 50, 68, 65, 74, 54
AKAZE_BRISK, 118, 109, 112, 110, 109, 116, 126, 137, 127
AKAZE_BRIEF, 108, 116, 110, 109, 116, 129, 133, 135, 131
AKAZE_ORB, 113, 106, 108, 110, 117, 122, 123, 136, 131
AKAZE_FREAK, 104, 98, 91, 87, 87, 104, 120, 117, 113
AKAZE_SIFT, 130, 116, 102, 109, 111, 125, 122, 133, 134
SIFT_BRISK, 55, 60, 58, 60, 52, 49, 50, 62, 64
SIFT_BRIEF, 63, 72, 64, 66, 52, 57, 72, 67, 84
SIFT_ORB, 63, 57, 61, 61, 52, 63, 62, 59, 74
SIFT_FREAK, 61, 62, 55, 63, 49, 50, 46, 56, 58
SIFT_SIFT, 75, 72, 65, 75, 59, 64, 64, 69, 81
